ticket_id,date_reported,issue_type,product,severity,customer_id,resolution_time_hours,resolved,recommended_solution
TKT1000,2023-04-17,Performance Issues,Cloud Analytics,4,CUST171,61,True,Cache Manager
TKT1001,2023-03-29,Software Bug,Data Manager,5,CUST472,24,True,Bug Fix Patch v2.1
TKT1002,2023-07-11,Compatibility Issue,Mobile App,3,CUST376,33,True,Version Manager
TKT1003,2023-02-28,Software Bug,Software Suite Pro,3,CUST269,60,True,System Diagnostics Tool
TKT1004,2023-12-30,Software Bug,Cloud Analytics,5,CUST154,64,True,Bug Fix Patch v2.1
TKT1005,2023-06-16,Authentication Error,Software Suite Pro,3,CUST373,4,False,Security Patch
TKT1006,2023-02-22,Data Sync Problem,Cloud Analytics,4,CUST485,60,True,Sync Engine Patch
TKT1007,2023-03-22,Data Sync Problem,Mobile App,4,CUST149,4,True,Data Reconciliation Tool
TKT1008,2023-07-10,Software Bug,API Gateway,4,CUST317,44,False,System Diagnostics Tool
TKT1009,2023-09-28,Installation Error,Software Suite Pro,3,CUST314,62,True,Installation Guide
TKT1010,2023-10-07,Authentication Error,API Gateway,3,CUST316,60,True,Identity Manager
TKT1011,2023-12-11,Performance Issues,Cloud Analytics,2,CUST426,9,True,Resource Monitor
TKT1012,2023-03-22,Performance Issues,API Gateway,4,CUST491,35,True,Load Balancer Pro
TKT1013,2023-02-10,Software Bug,Data Manager,4,CUST127,7,False,System Diagnostics Tool
TKT1014,2023-03-03,Software Bug,Data Manager,5,CUST315,37,True,System Diagnostics Tool
TKT1015,2023-04-11,Installation Error,Software Suite Pro,2,CUST230,1,True,System Checker
TKT1016,2023-07-26,Data Sync Problem,Mobile App,5,CUST114,42,True,Cloud Connector
TKT1017,2023-02-21,Software Bug,Data Manager,3,CUST195,4,False,Core Engine Update
TKT1018,2023-01-29,Authentication Error,API Gateway,3,CUST135,13,True,OAuth Handler
TKT1019,2023-02-14,Authentication Error,Cloud Analytics,4,CUST161,57,True,Two-Factor Module
TKT1020,2023-11-27,Data Sync Problem,Data Manager,4,CUST227,62,True,Sync Engine Patch
TKT1021,2023-08-21,Authentication Error,Software Suite Pro,4,CUST358,70,True,Identity Manager
TKT1022,2023-08-22,Connectivity Issues,API Gateway,4,CUST271,24,False,VPN Manager
TKT1023,2023-06-29,Software Bug,API Gateway,3,CUST212,62,False,System Diagnostics Tool
TKT1024,2023-04-11,Authentication Error,API Gateway,3,CUST212,56,True,Identity Manager
TKT1025,2023-08-12,Compatibility Issue,Mobile App,4,CUST324,1,True,Version Manager
TKT1026,2023-09-04,Connectivity Issues,Cloud Analytics,3,CUST423,55,True,Connection Optimizer
TKT1027,2023-04-08,Software Bug,Cloud Analytics,3,CUST297,11,True,Bug Fix Patch v2.1
TKT1028,2023-12-15,Software Bug,Data Manager,4,CUST358,20,True,Core Engine Update
TKT1029,2023-05-28,Authentication Error,API Gateway,3,CUST451,71,True,Identity Manager
TKT1030,2023-12-26,Performance Issues,API Gateway,3,CUST228,11,True,Performance Optimizer
TKT1031,2023-10-25,Software Bug,Data Manager,4,CUST198,7,True,System Diagnostics Tool
TKT1032,2023-10-31,Compatibility Issue,Software Suite Pro,3,CUST353,12,True,Legacy Support
TKT1033,2023-04-09,Authentication Error,Software Suite Pro,3,CUST246,48,True,Two-Factor Module
TKT1034,2023-04-26,Installation Error,Mobile App,2,CUST174,36,False,Installation Guide
TKT1035,2023-04-09,Connectivity Issues,Cloud Analytics,2,CUST252,18,True,VPN Manager
TKT1036,2023-06-18,Connectivity Issues,Mobile App,2,CUST260,68,True,Network Diagnostics
TKT1037,2023-07-14,Software Bug,API Gateway,5,CUST227,33,True,Core Engine Update
TKT1038,2023-08-26,Performance Issues,API Gateway,3,CUST257,38,False,Load Balancer Pro
TKT1039,2023-08-14,Installation Error,Software Suite Pro,2,CUST376,30,True,System Checker
TKT1040,2023-10-31,Connectivity Issues,API Gateway,2,CUST246,4,True,Network Diagnostics
TKT1041,2023-02-15,Software Bug,API Gateway,4,CUST472,6,True,Bug Fix Patch v2.1
TKT1042,2023-10-29,Compatibility Issue,Software Suite Pro,2,CUST280,60,False,Bridge Module
TKT1043,2023-06-10,Performance Issues,Mobile App,4,CUST355,67,True,Performance Optimizer
TKT1044,2023-11-19,Performance Issues,Data Manager,3,CUST459,46,True,Resource Monitor
TKT1045,2023-05-07,Authentication Error,API Gateway,4,CUST254,2,True,Two-Factor Module
TKT1046,2023-06-25,Authentication Error,API Gateway,4,CUST138,42,True,OAuth Handler
TKT1047,2023-11-12,Performance Issues,Mobile App,2,CUST490,57,True,Resource Monitor
TKT1048,2023-05-22,Authentication Error,Cloud Analytics,4,CUST470,15,True,Security Patch
TKT1049,2023-02-20,Performance Issues,API Gateway,3,CUST252,58,True,Performance Optimizer
TKT1050,2023-11-01,Data Sync Problem,Data Manager,4,CUST279,42,True,Data Reconciliation Tool
TKT1051,2023-09-21,Connectivity Issues,API Gateway,2,CUST152,60,True,Network Diagnostics
TKT1052,2023-12-16,Connectivity Issues,Cloud Analytics,2,CUST146,55,True,Firewall Config Tool
TKT1053,2023-05-27,Compatibility Issue,Mobile App,3,CUST244,63,True,Version Manager
TKT1054,2023-04-27,Software Bug,Software Suite Pro,4,CUST417,23,True,Bug Fix Patch v2.1
TKT1055,2023-08-27,Software Bug,Cloud Analytics,3,CUST389,48,True,Bug Fix Patch v2.1
TKT1056,2023-07-11,Performance Issues,Mobile App,2,CUST168,22,True,Load Balancer Pro
TKT1057,2023-03-27,Software Bug,API Gateway,5,CUST284,29,True,Bug Fix Patch v2.1
TKT1058,2023-07-23,Software Bug,Cloud Analytics,4,CUST499,48,True,Bug Fix Patch v2.1
TKT1059,2023-09-07,Connectivity Issues,API Gateway,4,CUST109,69,False,Firewall Config Tool
TKT1060,2023-04-06,Performance Issues,Data Manager,4,CUST356,69,True,Resource Monitor
TKT1061,2023-06-09,Software Bug,Data Manager,4,CUST439,24,True,Core Engine Update
TKT1062,2023-06-28,Authentication Error,Software Suite Pro,3,CUST200,12,True,Identity Manager
